thick,crossplane,y,x,r,temp
1.25893e-07,4.42418,1,2,0.5,400
1.58489e-07,4.72892,1,2,0.5,400
1.99526e-07,5.04447,1,2,0.5,400
2.51189e-07,5.36948,1,2,0.5,400
3.16228e-07,5.7023,1,2,0.5,400
3.98107e-07,6.0409,1,2,0.5,400
5.01187e-07,6.38287,1,2,0.5,400
6.30957e-07,6.72551,1,2,0.5,400
7.94328e-07,7.06578,1,2,0.5,400
1e-06,7.40044,1,2,0.5,400
1.25893e-06,7.72607,1,2,0.5,400
1.58489e-06,8.03917,1,2,0.5,400
1.99526e-06,8.33632,1,2,0.5,400
2.51189e-06,8.61437,1,2,0.5,400
3.16228e-06,8.8707,1,2,0.5,400
3.98107e-06,9.10337,1,2,0.5,400
5.01187e-06,9.31131,1,2,0.5,400
6.30957e-06,9.49436,1,2,0.5,400
7.94328e-06,9.65321,1,2,0.5,400
1e-05,9.78924,1,2,0.5,400
1.25893e-05,9.90436,1,2,0.5,400
1.58489e-05,10.0007,1,2,0.5,400
1.99526e-05,10.0807,1,2,0.5,400
2.51189e-05,10.1465,1,2,0.5,400
3.16228e-05,10.2004,1,2,0.5,400
3.98107e-05,10.2442,1,2,0.5,400
5.01187e-05,10.2796,1,2,0.5,400
6.30957e-05,10.3082,1,2,0.5,400
7.94328e-05,10.3312,1,2,0.5,400
0.0001,10.3497,1,2,0.5,400
1.25893e-09,0.969938,2,1,0.1,400
1.58489e-09,1.08563,2,1,0.1,400
1.99526e-09,1.2057,2,1,0.1,400
2.51189e-09,1.32928,2,1,0.1,400
3.16228e-09,1.45562,2,1,0.1,400
3.98107e-09,1.58406,2,1,0.1,400
5.01187e-09,1.71408,2,1,0.1,400
6.30957e-09,1.84532,2,1,0.1,400
7.94328e-09,1.97753,2,1,0.1,400
1e-08,2.11058,2,1,0.1,400
1.25893e-08,2.24447,2,1,0.1,400
1.58489e-08,2.37929,2,1,0.1,400
1.99526e-08,2.51525,2,1,0.1,400
2.51189e-08,2.65261,2,1,0.1,400
3.16228e-08,2.79171,2,1,0.1,400
3.98107e-08,2.93287,2,1,0.1,400
5.01187e-08,3.0764,2,1,0.1,400
6.30957e-08,3.22248,2,1,0.1,400
7.94328e-08,3.37117,2,1,0.1,400
1e-07,3.52232,2,1,0.1,400
1.25893e-07,3.67559,2,1,0.1,400
1.58489e-07,3.8304,2,1,0.1,400
1.99526e-07,3.98598,2,1,0.1,400
2.51189e-07,4.14141,2,1,0.1,400
3.16228e-07,4.29564,2,1,0.1,400
3.98107e-07,4.44756,2,1,0.1,400
5.01187e-07,4.59606,2,1,0.1,400
6.30957e-07,4.74,2,1,0.1,400
7.94328e-07,4.87827,2,1,0.1,400
1e-06,5.00978,2,1,0.1,400
1.25893e-06,5.13351,2,1,0.1,400
1.58489e-06,5.24851,2,1,0.1,400
1.99526e-06,5.35403,2,1,0.1,400
2.51189e-06,5.44953,2,1,0.1,400
3.16228e-06,5.53474,2,1,0.1,400
3.98107e-06,5.60971,2,1,0.1,400
5.01187e-06,5.67478,2,1,0.1,400
6.30957e-06,5.73055,2,1,0.1,400
7.94328e-06,5.77779,2,1,0.1,400
1e-05,5.81739,2,1,0.1,400
1.25893e-05,5.85028,2,1,0.1,400
1.58489e-05,5.87738,2,1,0.1,400
1.99526e-05,5.89957,2,1,0.1,400
2.51189e-05,5.91763,2,1,0.1,400
3.16228e-05,5.93227,2,1,0.1,400
3.98107e-05,5.94408,2,1,0.1,400
5.01187e-05,5.95358,2,1,0.1,400
6.30957e-05,5.96121,2,1,0.1,400
7.94328e-05,5.96732,2,1,0.1,400
0.0001,5.9722,2,1,0.1,400
1.25893e-09,0.94123,1,2,0.1,500
1.58489e-09,1.05941,1,2,0.1,500
1.99526e-09,1.18288,1,2,0.1,500
2.51189e-09,1.31064,1,2,0.1,500
3.16228e-09,1.44178,1,2,0.1,500
3.98107e-09,1.57547,1,2,0.1,500
5.01187e-09,1.71104,1,2,0.1,500
6.30957e-09,1.84801,1,2,0.1,500
7.94328e-09,1.98607,1,2,0.1,500
1e-08,2.12513,1,2,0.1,500
1.25893e-08,2.26525,1,2,0.1,500
1.58489e-08,2.40668,1,2,0.1,500
1.99526e-08,2.5498,1,2,0.1,500
2.51189e-08,2.69505,1,2,0.1,500
3.16228e-08,2.84293,1,2,0.1,500
3.98107e-08,2.99395,1,2,0.1,500
5.01187e-08,3.14853,1,2,0.1,500
6.30957e-08,3.30698,1,2,0.1,500
7.94328e-08,3.46945,1,2,0.1,500
1e-07,3.63587,1,2,0.1,500
1.25893e-07,3.80597,1,2,0.1,500
1.58489e-07,3.9792,1,2,0.1,500
1.99526e-07,4.15485,1,2,0.1,500
2.51189e-07,4.33198,1,2,0.1,500
3.16228e-07,4.50953,1,2,0.1,500
3.98107e-07,4.68631,1,2,0.1,500
5.01187e-07,4.86109,1,2,0.1,500
6.30957e-07,5.03257,1,2,0.1,500
7.94328e-07,5.19945,1,2,0.1,500
1e-06,5.36043,1,2,0.1,500
1.25893e-06,5.51418,1,2,0.1,500
1.58489e-06,5.65946,1,2,0.1,500
1.99526e-06,5.79507,1,2,0.1,500
2.51189e-06,5.92005,1,2,0.1,500
3.16228e-06,6.03364,1,2,0.1,500
3.98107e-06,6.13543,1,2,0.1,500
5.01187e-06,6.22535,1,2,0.1,500
6.30957e-06,6.3037,1,2,0.1,500
7.94328e-06,6.37108,1,2,0.1,500
1e-05,6.42834,1,2,0.1,500
1.25893e-05,6.47648,1,2,0.1,500
1.58489e-05,6.51655,1,2,0.1,500
1.99526e-05,6.54965,1,2,0.1,500
2.51189e-05,6.57679,1,2,0.1,500
3.16228e-05,6.59892,1,2,0.1,500
3.98107e-05,6.61687,1,2,0.1,500
5.01187e-05,6.63137,1,2,0.1,500
6.30957e-05,6.64305,1,2,0.1,500
7.94328e-05,6.65243,1,2,0.1,500
0.0001,6.65994,1,2,0.1,500
1.25893e-09,0.667229,1,2,0.1,200
1.58489e-09,0.753756,1,2,0.1,200
1.99526e-09,0.8451,1,2,0.1,200
2.51189e-09,0.940819,1,2,0.1,200
3.16228e-09,1.04054,1,2,0.1,200
3.98107e-09,1.14398,1,2,0.1,200
5.01187e-09,1.25097,1,2,0.1,200
6.30957e-09,1.36145,1,2,0.1,200
7.94328e-09,1.47549,1,2,0.1,200
1e-08,1.59325,1,2,0.1,200
1.25893e-08,1.71498,1,2,0.1,200
1.58489e-08,1.84105,1,2,0.1,200
1.99526e-08,1.97187,1,2,0.1,200
2.51189e-08,2.10793,1,2,0.1,200
3.16228e-08,2.24975,1,2,0.1,200
3.98107e-08,2.39787,1,2,0.1,200
5.01187e-08,2.55279,1,2,0.1,200
6.30957e-08,2.71493,1,2,0.1,200
7.94328e-08,2.88461,1,2,0.1,200
1e-07,3.06195,1,2,0.1,200
1.25893e-07,3.24688,1,2,0.1,200
1.58489e-07,3.43908,1,2,0.1,200
1.99526e-07,3.63797,1,2,0.1,200
2.51189e-07,3.84276,1,2,0.1,200
3.16228e-07,4.05243,1,2,0.1,200
3.98107e-07,4.26581,1,2,0.1,200
5.01187e-07,4.48168,1,2,0.1,200
6.30957e-07,4.69878,1,2,0.1,200
7.94328e-07,4.91589,1,2,0.1,200
1e-06,5.13182,1,2,0.1,200
1.25893e-06,5.34536,1,2,0.1,200
1.58489e-06,5.55522,1,2,0.1,200
1.99526e-06,5.75996,1,2,0.1,200
2.51189e-06,5.95795,1,2,0.1,200
3.16228e-06,6.14736,1,2,0.1,200
3.98107e-06,6.32634,1,2,0.1,200
5.01187e-06,6.49309,1,2,0.1,200
6.30957e-06,6.64609,1,2,0.1,200
7.94328e-06,6.78427,1,2,0.1,200
1e-05,6.90712,1,2,0.1,200
1.25893e-05,7.01467,1,2,0.1,200
1.58489e-05,7.10751,1,2,0.1,200
1.99526e-05,7.1866,1,2,0.1,200
2.51189e-05,7.25321,1,2,0.1,200
3.16228e-05,7.30874,1,2,0.1,200
3.98107e-05,7.35464,1,2,0.1,200
5.01187e-05,7.39231,1,2,0.1,200
6.30957e-05,7.42303,1,2,0.1,200
7.94328e-05,7.44796,1,2,0.1,200
0.0001,7.4681,1,2,0.1,200
1.25893e-09,0.783366,2,2,0.2,300
